topic,count,percent
Story/Drama,301518,24.9853742776219
Human Relations,151247,12.53312539671754
Fortune-Telling,145515,12.058141596880288
News,135700,11.244818848205718
Job/Work,123025,10.194501391308094
Marketing,119918,9.93703895828396
Financial,91323,7.567506202466403
Health/Diet,52770,4.372800962563122
Technology,42812,3.5476284784774
Education/School,36565,3.029969058103479
Law,6385,0.5290948293720966
