topic,count,percent
Story/Drama,325508,25.94960877242633
Human Relations,174864,13.940217716251391
Fortune-Telling,145515,11.600505426962217
News,135700,10.818050279619095
Job/Work,123025,9.807594956891226
Marketing,119918,9.559903857268703
Financial,91323,7.280300705126416
Health/Diet,52770,4.206842396871774
Technology,42812,3.4129872407594157
Education/School,36565,2.914974270259928
Law,6385,0.5090143775635072
