topic,count,percent
Story/Drama,60304,24.986016217044885
Human Relations,30249,12.533198536571218
Fortune-Telling,29102,12.057957083252193
News,27140,11.245033167461498
Job/Work,24603,10.193867023546618
Marketing,23980,9.935736748552937
Financial,18266,7.5682305024632175
Health/Diet,10554,4.37288430543068
Technology,8565,3.548773363275893
Education/School,7311,3.0291981388102807
Law,1277,0.5291049135905797
