topic,count,percent
Story/Drama,30153,24.984670964320635
Human Relations,15126,12.533351010059162
Fortune-Telling,14553,12.05856520226041
News,13571,11.244883416469184
Job/Work,12302,10.193394428516978
Marketing,11994,9.93818669936861
Financial,9134,7.568400642990902
Health/Diet,5277,4.372503852973833
Technology,4279,3.545564522811262
Education/School,3658,3.0310060818984805
Law,639,0.5294731783305437
