topic,count,percent
storytelling,56863,0.2356029185708781
occultism,28913,0.11979647898703548
news,25644,0.10625189040028837
career,24603,0.10193867023546618
psychology,24245,0.10045535340644952
marketing,23057,0.09553306180624899
finance,17471,0.07238834726187171
other,13512,0.0559848519376344
healthcare,10554,0.0437288430543068
tech,7949,0.0329354342845068
study,7263,0.030093100919407832
law,1277,0.005291049135905797
