channel,count,percent
behomethansohoc7,3237,0.02682166945627496
thvl24news,2424,0.020085179722585885
baothanhnien.official,2332,0.019322870921233616
tuan_linh912k,2197,0.01820426561490148
genz.justdoit,2124,0.01759939015295892
nguyenanhtuan.official,2087,0.017292809439371594
tamtinhmebim.mcv,2060,0.017069088378105165
lifecoachtuean,1989,0.016480784846626784
vtvthoitiet,1948,0.0161410602721111
laihofficial,1778,0.014732446182655817
luonganhmyy,1550,0.012843246109739324
mcvtop.mcv,1549,0.012834960144507234
vothailamleo,1412,0.01169978290771092
vuilenreview,1346,0.011152909202392987
tranquangtien164,1270,0.010523175844754155
mcnguyenkhang,1197,0.009918300382811593
kenh14specialvn,1189,0.009852012660954874
thiendi180119,1156,0.009578575808295908
sharktankvn,1121,0.009288567025172762
cohoichoai,1078,0.008932270520192897
hoangngoctu68,1072,0.008882554728800358
baohancute205,1072,0.008882554728800358
neko.land23,1067,0.008841124902639908
thaihoang_huongnghiep,1042,0.008633975771837662
namkechuyenma,1035,0.008575974015213032
doctorhousing,1008,0.008352252953946605
nhuantamlinh,992,0.008219677510233166
giaolocamxuc.beeent,900,0.007457368708880897
dangphuonglinh.com,878,0.00727507747377492
phanhoangmyvietjetair,866,0.007175645890989841
daothinhvuongofficial255,850,0.007043070447276404
tranle.phunu30cong,844,0.006993354655883864
thehoangwork,844,0.006993354655883864
henantrua.mcv,815,0.006753061664153257
maggiemaggievn,780,0.006463052881030111
tungbtkhoinghiep,730,0.006048754619425617
fptlongchau,712,0.005899607245247999
vivodio,694,0.005750459871070381
vyviqng,693,0.005742173905838291
chuthienoi,656,0.005435593192250965
phamcu95,647,0.005361019505162157
5w1hpodcast,646,0.005352733539930066
dongthaptv,627,0.005195300200520359
minh.lecong,622,0.005153870374359909
arian__111,601,0.004979865104486021
dangdocgiday,596,0.004938435278325572
hanquangdu,590,0.004888719486933033
thayqueo,580,0.004805859834612134
markusnguyen37,577,0.004781001938915864
jaynguyen1101,577,0.004781001938915864
tinmoinhat369,567,0.004698142286594965
ngantalk,556,0.004606996669041977
alexlevn,555,0.004598710703809887
nhansohochieuminh,550,0.004557280877649437
canmanhlinh,540,0.004474421225328539
linhhoatam11,537,0.004449563329632269
madisonmediagroup,530,0.00439156157300764
suckhoegenz,523,0.0043335598163830105
nhile_anne92,490,0.004060122963724044
congocphunxamtuongso,490,0.004060122963724044
bacsi.hieu.official,478,0.003960691380938966
huynhduykhuongofficial,477,0.003952405415706876
pcm.studio,472,0.003910975589546426
tntamnguyen92,466,0.003861259798153887
ngocyakultinvesting,466,0.003861259798153887
thangbancaytinikun,456,0.003778400145832988
minhxinchao,450,0.0037286843544404487
vietsuccess,449,0.003720398389208359
luongdinh1502,448,0.003712112423976269
_sunnytarot_,446,0.003695540493512089
vtv4go,444,0.0036789685630479094
22_22_l,442,0.00366239663258373
taylortichcuc,441,0.00365411066735164
vococenter_official,438,0.00362925277165537
chiemxi,437,0.0036209668064232804
minhtinhday,437,0.0036209668064232804
duocsyduythuc90,436,0.0036126808411911905
thalicvoice,435,0.0036043948759591003
chuyenkinhdoanh_z,430,0.003562965049798651
drchubbyderma,427,0.0035381071541023814
earthlovers1111,427,0.0035381071541023814
vtcnow,420,0.0034801053974777524
ngao_bao,419,0.003471819432245662
8saigon,413,0.003422103640853123
ngominhtuan.official,409,0.0033889597799247636
bukamidilam,402,0.003330958023300134
duynghiem.dgi,397,0.0032895281971396847
duongwiki,395,0.003272956266675505
bs.ngomonghung,394,0.0032646703014434153
dtn.tuoidaythi,388,0.003214954510050876
vtvgiaitriofficial,388,0.003214954510050876
phaminhiu,386,0.003198382579586696
thansohocdinhhuong369,384,0.0031818106491225163
lepthelittlekid,382,0.0031652387186583363
tanab.ne,382,0.0031652387186583363
syhuyvuituoi,379,0.003140380822962067
gasachh,378,0.003132094857729977
quynhnhu.lifecoach,364,0.0030160913444807185
phammaihuong.pmh,363,0.0030078053792486287
phongthuythuctam,361,0.002991233448784449
onlycofficial,360,0.002982947483552359
otingting_networks,353,0.00292494572692773
luatsubinh,352,0.00291665976169564
gwynethtarot777,343,0.002842086074606831
khanh.sartorial,343,0.002842086074606831
maiivi8,340,0.0028172281789105615
thuuyendaylight,332,0.002750940457053842
ngocbinhtamly,332,0.002750940457053842
ntcong5,332,0.002750940457053842
ddttam,332,0.002750940457053842
huydao,331,0.0027426544918217523
fisc.vn,329,0.0027260825613575727
landoanhr,320,0.0026515088742687636
hantuyentech,315,0.002610079048108314
anhduc.masterlife,314,0.0026017930828762244
chiyeuthoichuadu,312,0.0025852211524120443
coin68tv,309,0.002560363256715775
metv.tiktok,308,0.002552077291483685
sieusaobongda09,308,0.002552077291483685
onhadocsach,308,0.002552077291483685
ieltsmentor.vietnam,303,0.0025106474653232356
sunhuynn,303,0.0025106474653232356
huuthinhbs,295,0.0024443597434665163
insidethebox.cchn,294,0.0024360737782344265
1900.6996_,292,0.002419501847770247
brands_untold,292,0.002419501847770247
nhungvahung,289,0.002394643952073977
chinhchualon,285,0.0023615000911456174
vtv24news,284,0.0023532141259135276
hoaquynh0000,283,0.002344928160681438
bocphottaichinh,282,0.002336642195449348
thongtruyentin,277,0.0022952123692888985
