channel,count,percent
behomethansohoc7,6474,0.026824003215234243
thvl24news,4849,0.020091070681289906
baothanhnien.official,4664,0.019324552208194703
tuan_linh912k,4394,0.01820584957178549
genz.justdoit,4248,0.01760092147950495
nguyenanhtuan.official,4174,0.017294314090266872
tamtinhmebim.mcv,4120,0.01707057356298503
lifecoachtuean,3978,0.01648221884309574
vtvthoitiet,3895,0.016138321365977353
laihofficial,3557,0.01473787139891693
luonganhmyy,3099,0.01284022026011908
mcvtop.mcv,3098,0.012836076917021268
vothailamleo,2823,0.011696657565122994
vuilenreview,2692,0.011153879619309637
tranquangtien164,2540,0.010524091468442227
mcnguyenkhang,2394,0.00991916337616169
kenh14specialvn,2377,0.009848726543498887
thiendi180119,2311,0.009575265899043303
sharktankvn,2242,0.00928937522529428
cohoichoai,2156,0.008933047718882458
hoangngoctu68,2144,0.008883327601708714
baohancute205,2143,0.008879184258610904
neko.land23,2135,0.008846037513828408
thaihoang_huongnghiep,2083,0.008630583672742189
namkechuyenma,2069,0.008572576869372822
doctorhousing,2016,0.008352979685188791
nhuantamlinh,1984,0.00822039270605881
giaolocamxuc.beeent,1801,0.007462160919159233
dangphuonglinh.com,1756,0.0072757104797576974
phanhoangmyvietjetair,1732,0.0071762702454102115
daothinhvuongofficial255,1700,0.007043683266280231
thehoangwork,1689,0.0069981064922043
tranle.phunu30cong,1687,0.006989819806008676
henantrua.mcv,1630,0.006753649249433398
maggiemaggievn,1560,0.006463615232586564
tungbtkhoinghiep,1461,0.006053424265903187
fptlongchau,1424,0.005900120571284147
vivodio,1389,0.0057551035628607295
vyviqng,1385,0.005738530190469483
chuthienoi,1311,0.005431922801231401
phamcu95,1294,0.0053614859685685995
5w1hpodcast,1291,0.005349055939275164
dongthaptv,1255,0.005199895587753935
minh.lecong,1244,0.005154318813678004
arian__111,1201,0.004976155060472093
dangdocgiday,1192,0.004938864972591785
hanquangdu,1179,0.0048850015123202304
thayqueo,1160,0.004806277993461804
markusnguyen37,1155,0.004785561277972745
jaynguyen1101,1155,0.004785561277972745
tinmoinhat369,1135,0.004702694416016507
ngantalk,1111,0.004603254181669021
alexlevn,1110,0.00459911083857121
nhansohochieuminh,1100,0.004557677407593091
canmanhlinh,1081,0.004478953888734665
linhhoatam11,1074,0.004449950487049981
madisonmediagroup,1059,0.004387800340582802
suckhoegenz,1046,0.0043339368803112475
nhile_anne92,980,0.004060476235855663
congocphunxamtuongso,979,0.0040563328927578505
bacsi.hieu.official,956,0.003961036001508177
huynhduykhuongofficial,954,0.003952749315312553
pcm.studio,945,0.003915459227432246
tntamnguyen92,932,0.003861595767160691
ngocyakultinvesting,931,0.0038574524240628794
thangbancaytinikun,912,0.0037787289052044534
minhxinchao,900,0.0037290087880307104
vietsuccess,897,0.0037165787587372747
luongdinh1502,895,0.003708292072541651
_sunnytarot_,892,0.003695862043248215
vtv4go,889,0.0036834320139547795
22_22_l,885,0.0036668586415635317
taylortichcuc,882,0.003654428612270096
vococenter_official,875,0.003625425210585413
chiemxi,873,0.003617138524389789
minhtinhday,873,0.003617138524389789
duocsyduythuc90,871,0.0036088518381941653
thalicvoice,869,0.0036005651519985414
chuyenkinhdoanh_z,860,0.0035632750641182345
drchubbyderma,854,0.003538415005531363
earthlovers1111,854,0.003538415005531363
vtcnow,840,0.0034804082021619963
ngao_bao,838,0.003472121515966373
8saigon,825,0.003418258055694818
ngominhtuan.official,819,0.0033933979971079464
bukamidilam,803,0.003327104507542956
duynghiem.dgi,795,0.003293957762760461
duongwiki,790,0.0032732410472714013
bs.ngomonghung,787,0.0032608110179779656
dtn.tuoidaythi,776,0.003215234243902035
vtvgiaitriofficial,775,0.003211090900804223
phaminhiu,772,0.003198660871510787
thansohocdinhhuong369,767,0.0031779441560217275
tanab.ne,765,0.003169657469826104
lepthelittlekid,764,0.003165514126728292
syhuyvuituoi,757,0.003136510725043609
gasachh,756,0.0031323673819457967
quynhnhu.lifecoach,729,0.0030204971183048755
phammaihuong.pmh,726,0.00300806708901144
phongthuythuctam,721,0.0029873503735223803
onlycofficial,721,0.0029873503735223803
otingting_networks,706,0.0029252002270552017
luatsubinh,705,0.00292105688395739
khanh.sartorial,686,0.002842333365098964
gwynethtarot777,685,0.0028381900220011518
maiivi8,681,0.0028216166496099044
ddttam,665,0.002755323160044914
thuuyendaylight,665,0.002755323160044914
ngocbinhtamly,664,0.002751179816947102
ntcong5,663,0.00274703647384929
huydao,661,0.002738749787653666
fisc.vn,658,0.0027263197583602306
landoanhr,640,0.0026517395825996163
hantuyentech,630,0.002610306151621497
anhduc.masterlife,629,0.0026061628085236855
chiyeuthoichuadu,625,0.0025895894361324377
coin68tv,618,0.0025605860344477547
onhadocsach,617,0.0025564426913499425
sieusaobongda09,616,0.0025522993482521308
metv.tiktok,615,0.002548156005154319
sunhuynn,606,0.0025108659172740117
ieltsmentor.vietnam,605,0.0025067225741762
huuthinhbs,591,0.002448715770806833
insidethebox.cchn,588,0.0024362857415133974
1900.6996_,584,0.00241971236912215
brands_untold,584,0.00241971236912215
nhungvahung,577,0.0023907089674374666
chinhchualon,569,0.0023575622226549714
vtv24news,568,0.0023534188795571597
hoaquynh0000,567,0.0023492755364593475
bocphottaichinh,565,0.0023409888502637236
thongtruyentin,553,0.002291268733089981
28perfume1,550,0.0022788387037965454
trumdidong.vn,548,0.0022705520176009215
ducreaction,545,0.002258121988307486
duyluandethuong,544,0.0022539786452096737
lamkhoinghiep,535,0.0022166885573293668
sebt.ccs,525,0.0021752551263512477
tuquyenlifecoach,524,0.002171111783253436
minhminhhuongzai,520,0.002154538410862188
nkhanhm2605,519,0.0021503950677643764
taiphen,510,0.002113104979884069
linhthaiofficial,503,0.002084101578199386
behindthebeauty_zstudio,502,0.002079958235101574
chanchuoi.com,501,0.002075814892003762
realpewpew,499,0.0020675282058081382
truyenthongkhangofficial,496,0.0020550981765147026
cudau8,495,0.002050954833416891
risingvietnam.podcast,494,0.0020468114903190787
nhitho2000,482,0.001997091373145336
anphat.official,474,0.001963944628362841
yoursupp.vn,474,0.001963944628362841
dc.podcast,472,0.001955657942167217
ggstravel.khamphanhatban,471,0.001951514599069405
linh.gb,465,0.0019266545404825338
unofficiallykyky,463,0.00191836785428691
huetran_taydanang,457,0.0018935077957000386
zing.podcast,451,0.0018686477371131671
naiverosie,451,0.0018686477371131671
thanhhoctaichinh,448,0.0018562177078197315
vietcetera_,446,0.0018479310216241076
_celine_nguyen,440,0.0018230709630372363
vinhvatvofake,440,0.0018230709630372363
saigonteu,439,0.0018189276199394244
haitrieucareer,436,0.0018064975906459887
nguoilamphim69,432,0.001789924218254741
ngatpronlp,428,0.0017733508458634933
quankhonggo,427,0.0017692075027656816
kieu06011993,419,0.0017360607579831864
nguyenthu.official,418,0.0017319174148853745
hoangreaction,417,0.0017277740717875625
truongphuongne,415,0.0017194873855919388
hongthuy68.78,409,0.0016946273270050673
vn.joboko,403,0.0016697672684181958
khatienganh,401,0.0016614805822225721
vatvostudio,395,0.0016366205236357006
chill_with_dan,391,0.001620047151244453
hochoimoingaymoi,390,0.001615903808146641
hunghuynhdaotao,387,0.0016034737788532055
ha_hips,384,0.0015910437495597698
vantoi.calis,382,0.001582757063364146
duocsythaophan,380,0.0015744703771685222
luongngo.lifecoach,377,0.0015620403478750866
spiderumcareerguide,373,0.0015454669754838388
dr.ngomonghung,367,0.0015206069168969675
find.forward,363,0.00150403354450572
chieu.tarotcorner,363,0.00150403354450572
codaolivestream,358,0.0014833168290166604
meowamnhac,355,0.0014708867997232247
bietduladuu,354,0.0014667434566254128
theinfluencer.vn,353,0.0014626001135276008
vybarnouin,348,0.0014418833980385413
haiichieu,343,0.001421166682549482
gioiielts98,342,0.00141702333945167
